categoria,ordine,file_originale,file_portfolio,thumbnail
03_Centrali_Termiche,21,IMG_7034.jpeg,03_Centrali_Termiche/021.jpg,thumbs/03_Centrali_Termiche/021.jpg
03_Centrali_Termiche,22,IMG_7035.jpeg,03_Centrali_Termiche/022.jpg,thumbs/03_Centrali_Termiche/022.jpg
03_Centrali_Termiche,23,4c6564a7-37dc-40bc-bf7b-7b8a824fdde9.JPG,03_Centrali_Termiche/023.jpg,thumbs/03_Centrali_Termiche/023.jpg
04_Villa_Dott_Tavolaccini,1,IMG_0986.jpeg,04_Villa_Dott_Tavolaccini/001.jpg,thumbs/04_Villa_Dott_Tavolaccini/001.jpg
04_Villa_Dott_Tavolaccini,2,IMG_0987.jpeg,04_Villa_Dott_Tavolaccini/002.jpg,thumbs/04_Villa_Dott_Tavolaccini/002.jpg
04_Villa_Dott_Tavolaccini,3,IMG_0989.jpeg,04_Villa_Dott_Tavolaccini/003.jpg,thumbs/04_Villa_Dott_Tavolaccini/003.jpg
04_Villa_Dott_Tavolaccini,4,0596616B-D55F-4E79-8FAC-F7D92E4AB9C2.jpeg,04_Villa_Dott_Tavolaccini/004.jpg,thumbs/04_Villa_Dott_Tavolaccini/004.jpg
04_Villa_Dott_Tavolaccini,5,308372C2-3DF2-48FF-96C0-C19C02F1EDC4.jpeg,04_Villa_Dott_Tavolaccini/005.jpg,thumbs/04_Villa_Dott_Tavolaccini/005.jpg
04_Villa_Dott_Tavolaccini,6,895A16A7-A180-4412-A700-D21D27E8F005.jpeg,04_Villa_Dott_Tavolaccini/006.jpg,thumbs/04_Villa_Dott_Tavolaccini/006.jpg
04_Villa_Dott_Tavolaccini,7,BDBD9998-6F31-4F14-908D-121781B8B0FA.jpeg,04_Villa_Dott_Tavolaccini/007.jpg,thumbs/04_Villa_Dott_Tavolaccini/007.jpg
04_Villa_Dott_Tavolaccini,8,C3FA9699-D3B9-46AC-8262-4ED972343954.jpeg,04_Villa_Dott_Tavolaccini/008.jpg,thumbs/04_Villa_Dott_Tavolaccini/008.jpg
04_Villa_Dott_Tavolaccini,9,C5D1D1F2-B6C4-423F-9BDA-058DBC1A28DD.jpeg,04_Villa_Dott_Tavolaccini/009.jpg,thumbs/04_Villa_Dott_Tavolaccini/009.jpg
04_Villa_Dott_Tavolaccini,10,D40E64F7-BCE2-4246-AA0C-C1CE49A8DE00.jpeg,04_Villa_Dott_Tavolaccini/010.jpg,thumbs/04_Villa_Dott_Tavolaccini/010.jpg
04_Villa_Dott_Tavolaccini,11,E1AA653F-79CE-464E-A52F-26EDF7C0647A.jpeg,04_Villa_Dott_Tavolaccini/011.jpg,thumbs/04_Villa_Dott_Tavolaccini/011.jpg
05_Lavori_a_Malta,1,IMG_1388.jpeg,05_Lavori_a_Malta/001.jpg,thumbs/05_Lavori_a_Malta/001.jpg
05_Lavori_a_Malta,2,IMG_1800.jpg,05_Lavori_a_Malta/002.jpg,thumbs/05_Lavori_a_Malta/002.jpg
05_Lavori_a_Malta,3,IMG_2139.jpeg,05_Lavori_a_Malta/003.jpg,thumbs/05_Lavori_a_Malta/003.jpg
05_Lavori_a_Malta,4,IMG_2140.jpeg,05_Lavori_a_Malta/004.jpg,thumbs/05_Lavori_a_Malta/004.jpg
05_Lavori_a_Malta,5,IMG_2141.jpeg,05_Lavori_a_Malta/005.jpg,thumbs/05_Lavori_a_Malta/005.jpg
05_Lavori_a_Malta,6,IMG_2142.jpeg,05_Lavori_a_Malta/006.jpg,thumbs/05_Lavori_a_Malta/006.jpg
05_Lavori_a_Malta,7,IMG_2143.jpeg,05_Lavori_a_Malta/007.jpg,thumbs/05_Lavori_a_Malta/007.jpg
05_Lavori_a_Malta,8,IMG_2349.jpeg,05_Lavori_a_Malta/008.jpg,thumbs/05_Lavori_a_Malta/008.jpg
05_Lavori_a_Malta,9,IMG_2352.jpeg,05_Lavori_a_Malta/009.jpg,thumbs/05_Lavori_a_Malta/009.jpg
05_Lavori_a_Malta,10,IMG_5467.jpeg,05_Lavori_a_Malta/010.jpg,thumbs/05_Lavori_a_Malta/010.jpg
05_Lavori_a_Malta,11,IMG_7016.jpeg,05_Lavori_a_Malta/011.jpg,thumbs/05_Lavori_a_Malta/011.jpg
05_Lavori_a_Malta,12,IMG_7017.jpeg,05_Lavori_a_Malta/012.jpg,thumbs/05_Lavori_a_Malta/012.jpg
05_Lavori_a_Malta,13,IMG_7018.jpeg,05_Lavori_a_Malta/013.jpg,thumbs/05_Lavori_a_Malta/013.jpg
05_Lavori_a_Malta,14,IMG_7019.jpeg,05_Lavori_a_Malta/014.jpg,thumbs/05_Lavori_a_Malta/014.jpg
05_Lavori_a_Malta,15,IMG_7020.jpeg,05_Lavori_a_Malta/015.jpg,thumbs/05_Lavori_a_Malta/015.jpg
05_Lavori_a_Malta,16,IMG_7021.jpeg,05_Lavori_a_Malta/016.jpg,thumbs/05_Lavori_a_Malta/016.jpg
05_Lavori_a_Malta,17,IMG_7022.jpeg,05_Lavori_a_Malta/017.jpg,thumbs/05_Lavori_a_Malta/017.jpg
05_Lavori_a_Malta,18,IMG_7023.jpeg,05_Lavori_a_Malta/018.jpg,thumbs/05_Lavori_a_Malta/018.jpg
05_Lavori_a_Malta,19,IMG_7024.jpeg,05_Lavori_a_Malta/019.jpg,thumbs/05_Lavori_a_Malta/019.jpg
05_Lavori_a_Malta,20,IMG_7025.jpeg,05_Lavori_a_Malta/020.jpg,thumbs/05_Lavori_a_Malta/020.jpg
05_Lavori_a_Malta,21,010A7B19-65FB-403D-B138-14665B49F841.jpeg,05_Lavori_a_Malta/021.jpg,thumbs/05_Lavori_a_Malta/021.jpg
05_Lavori_a_Malta,22,093981C0-9344-44E4-AB21-953DA786E74D.jpeg,05_Lavori_a_Malta/022.jpg,thumbs/05_Lavori_a_Malta/022.jpg
05_Lavori_a_Malta,23,0BCEFC8A-33E9-4122-9A20-B83C131F814F.jpeg,05_Lavori_a_Malta/023.jpg,thumbs/05_Lavori_a_Malta/023.jpg
05_Lavori_a_Malta,24,0FB7BA0B-2351-42B6-B04B-339BA2BEA0E9.jpeg,05_Lavori_a_Malta/024.jpg,thumbs/05_Lavori_a_Malta/024.jpg
05_Lavori_a_Malta,25,1B58ABC8-D294-4B82-B263-6B03758136A5.jpeg,05_Lavori_a_Malta/025.jpg,thumbs/05_Lavori_a_Malta/025.jpg
05_Lavori_a_Malta,26,1F59EDA2-9428-46A4-A7A9-903E70881FB9.jpeg,05_Lavori_a_Malta/026.jpg,thumbs/05_Lavori_a_Malta/026.jpg
